;bCT3_1db40_1;bCT3_1db40_2;bCT3_1dT40_1;bCT3_1dT40_2;bCT3_2db40_1;bCT3_2dT40_1;bCT4_dCA2_1;bCT4_dCA2_2;bCT4_dTR2_1;bCT4_dTR2_2
ENSG00000010017.13;1514;2546;1761;2115;2284;2144;2254;2716;2652;2347
ENSG00000286316.1;0;1;1;0;0;0;0;0;0;0
ENSG00000050393.12;973;1780;1251;1582;1634;1604;1332;1525;1384;1295
ENSG00000272209.1;3;5;0;3;5;1;3;5;3;9
ENSG00000180537.13;158;327;252;290;261;248;232;259;268;275
ENSG00000220868.2;0;0;0;0;0;0;0;0;0;0
ENSG00000233981.1;0;0;0;0;0;0;3;0;0;0
ENSG00000112149.10;50;98;43;35;84;40;85;105;55;51
ENSG00000285639.1;1;0;0;0;0;0;0;0;0;0
ENSG00000238987.1;0;0;0;0;0;0;0;0;0;0
ENSG00000286281.1;1;0;2;1;0;0;0;1;1;1
ENSG00000230631.1;0;0;0;0;0;0;0;0;0;0
ENSG00000226673.2;0;0;0;0;0;0;0;1;0;0
ENSG00000237346.2;0;0;0;0;0;0;0;0;0;0
ENSG00000234540.1;0;0;0;0;0;0;0;0;0;0
ENSG00000286277.1;0;0;0;0;0;0;0;0;0;0
ENSG00000229646.2;0;0;0;0;0;0;0;0;0;0
ENSG00000289958.1;0;0;0;0;0;0;0;0;0;0
ENSG00000206960.1;0;0;0;0;0;0;0;0;0;0
ENSG00000234261.6;0;1;0;0;0;1;0;0;0;0
ENSG00000216754.2;0;0;0;0;0;0;0;0;0;0
ENSG00000242989.3;0;0;0;0;0;0;0;1;0;0
ENSG00000271888.1;2;3;4;3;6;1;1;0;0;2
ENSG00000008083.14;273;466;250;345;309;302;255;327;343;310
ENSG00000235488.1;1;2;1;1;3;5;0;2;0;0
ENSG00000201367.1;4;0;0;0;0;0;0;0;0;0
ENSG00000201519.1;0;0;0;0;0;0;0;0;0;0
ENSG00000277411.1;4;0;0;1;0;0;0;0;0;0
ENSG00000047579.20;256;444;316;364;427;392;468;338;324;279
ENSG00000287626.1;0;0;0;0;0;0;0;0;0;0
ENSG00000289953.1;0;0;0;0;0;0;0;0;0;0
ENSG00000214027.3;0;2;0;0;3;0;0;1;0;0
ENSG00000232947.1;0;0;0;0;0;0;0;0;0;0
ENSG00000274212.1;0;0;0;0;0;0;0;0;0;0
ENSG00000217585.1;1;0;0;0;0;0;0;0;0;0
ENSG00000007944.15;597;1033;212;325;923;256;305;483;203;182
ENSG00000263712.1;0;1;0;1;1;0;0;0;0;1
ENSG00000218073.1;1;3;0;0;5;0;5;0;0;0
ENSG00000217078.1;1;0;0;0;2;0;0;0;0;0
ENSG00000216364.1;0;0;0;0;0;0;0;0;0;0
ENSG00000251831.1;0;0;0;0;0;0;0;0;0;0
ENSG00000207193.1;0;0;0;0;0;0;0;0;0;0
ENSG00000137198.10;1481;2873;1343;1660;2165;1684;2072;1596;1375;1186
ENSG00000282024.1;0;0;2;0;0;0;0;0;0;0
ENSG00000124788.19;1252;2391;1267;1493;2025;1182;1463;2264;1636;1578
ENSG00000288708.1;0;0;0;0;0;0;0;0;0;0
ENSG00000229931.3;27;37;23;16;29;17;18;48;30;24
ENSG00000289863.1;0;0;0;0;0;0;0;0;0;0
ENSG00000272341.1;22;45;23;35;37;34;34;42;42;40
ENSG00000287347.1;0;0;0;0;0;0;2;0;0;0
ENSG00000286631.1;1;2;0;0;0;1;2;2;2;2
ENSG00000287359.1;0;0;0;0;0;0;0;0;0;0
ENSG00000230873.9;0;2;0;0;0;0;0;0;0;0
ENSG00000287559.1;0;14;1;2;10;3;7;10;5;14
ENSG00000288812.1;0;1;0;1;2;2;0;2;0;1
ENSG00000112183.15;154;248;107;152;281;182;273;322;303;265
ENSG00000219314.1;0;0;0;0;0;0;0;0;0;0
ENSG00000112186.13;1386;2528;1532;1811;1992;1583;2116;2588;2321;1946
ENSG00000184612.8;0;5;9;4;0;1;4;5;3;5
ENSG00000218359.1;0;0;0;0;0;0;0;0;0;0
ENSG00000286885.3;3;6;1;3;0;2;6;7;0;2
ENSG00000137414.7;1817;3176;2010;2359;2786;2167;1729;2552;2385;2258
ENSG00000124789.12;1241;2298;1218;1475;2099;1213;1163;1894;1414;1283
ENSG00000206881.1;0;0;0;0;0;0;0;0;2;2
ENSG00000272269.2;8;12;3;6;10;7;5;5;4;6
ENSG00000201415.1;0;0;0;0;0;0;0;0;0;0
ENSG00000201442.2;0;0;0;0;0;0;0;0;0;0
ENSG00000137177.20;3322;6343;5439;6910;5070;4913;4246;6112;6980;5890
ENSG00000220920.1;2;4;7;6;9;7;3;9;9;3
ENSG00000187566.6;134;229;163;144;171;164;221;200;185;148
ENSG00000137364.5;550;1001;908;1016;804;941;1048;811;857;764
ENSG00000165097.16;642;1234;990;1176;917;1049;749;1105;1106;1043
ENSG00000124795.17;1837;3069;1915;2371;2582;2462;3697;3900;3657;3449
ENSG00000199715.1;0;0;0;0;0;0;0;0;0;0
ENSG00000289097.1;2;1;0;0;1;0;5;1;4;0
ENSG00000278102.1;0;0;0;0;0;0;0;0;0;0
ENSG00000200681.1;0;0;0;0;0;0;0;0;0;0
ENSG00000217414.2;0;0;0;0;0;0;0;0;0;0
ENSG00000218976.2;0;1;0;1;0;0;0;0;0;0
ENSG00000137393.10;104;236;164;258;222;184;577;812;1483;1194
ENSG00000283408.2;0;1;0;0;1;0;0;0;0;0
ENSG00000207775.1;0;0;0;0;0;0;0;0;0;0
ENSG00000217379.2;0;0;0;0;0;0;0;0;0;0
ENSG00000231662.1;0;0;0;0;0;0;2;0;0;0
ENSG00000228412.9;19;21;6;10;17;10;15;21;17;18
ENSG00000218643.2;0;0;0;0;1;0;0;0;0;0
ENSG00000201523.1;0;0;0;0;0;0;0;0;0;0
ENSG00000214012.4;0;0;0;0;0;0;0;0;0;0
ENSG00000217314.2;0;0;0;0;0;0;0;0;0;0
ENSG00000200957.1;0;0;0;0;0;0;0;0;0;0
ENSG00000172201.12;1326;2300;546;592;1940;601;1532;1884;1247;1309
ENSG00000287138.1;0;0;0;0;0;0;0;0;0;0
ENSG00000229700.1;0;0;0;0;1;0;0;4;0;0
ENSG00000172197.11;74;143;33;41;101;45;188;218;138;132
ENSG00000227803.2;0;0;0;0;0;0;0;0;0;0
ENSG00000287614.1;0;1;0;0;0;0;0;1;3;1
ENSG00000286590.1;0;1;0;0;0;0;0;0;0;1
ENSG00000287483.1;0;0;0;0;0;0;0;0;0;0
ENSG00000289981.1;4;9;13;2;15;5;20;12;7;3
ENSG00000112242.16;792;1362;886;1108;1247;835;1022;1403;1213;1080
ENSG00000240869.3;0;0;1;0;0;0;0;0;0;2
ENSG00000224707.1;0;0;1;0;1;0;0;0;1;1
ENSG00000222431.1;0;0;0;0;0;1;0;0;0;2
ENSG00000201683.1;0;0;0;0;0;0;0;0;0;0
ENSG00000145996.11;182;342;168;248;258;248;260;317;255;249
ENSG00000225832.1;0;0;0;0;0;0;0;0;0;0
ENSG00000233848.1;0;0;0;1;0;0;0;0;0;0
ENSG00000252046.1;0;0;0;0;0;0;0;0;0;0
ENSG00000287404.1;2;0;0;1;0;0;0;0;0;0
ENSG00000227089.2;0;0;0;0;0;0;0;0;0;0
ENSG00000286368.1;0;0;0;0;0;0;0;0;0;0
ENSG00000280989.2;0;3;0;0;0;0;0;0;0;1
ENSG00000231754.4;0;0;1;0;0;0;2;0;0;0
ENSG00000283480.1;1;0;5;0;3;1;4;3;4;5
ENSG00000124766.7;681;1204;469;500;1087;413;1552;1989;1095;963
ENSG00000220771.2;0;0;0;0;0;0;0;0;0;0
ENSG00000272168.10;15;27;10;8;18;15;64;72;34;39
ENSG00000280443.1;0;0;0;0;0;0;0;0;0;0
ENSG00000222515.1;0;0;0;0;0;0;0;0;0;0
ENSG00000260455.2;0;0;0;0;1;0;1;4;0;1
ENSG00000219404.2;0;0;0;0;0;0;0;0;0;0
ENSG00000172179.13;0;0;1;0;0;0;0;0;1;1
ENSG00000112273.7;0;0;0;0;0;0;0;0;0;0
ENSG00000228772.2;0;1;0;0;0;0;0;0;0;0
ENSG00000286954.1;0;2;0;0;1;0;0;0;0;2
ENSG00000233358.2;0;0;0;0;0;0;0;0;0;0
ENSG00000218476.2;0;0;0;0;0;0;0;0;0;0
ENSG00000207394.1;0;0;0;0;0;0;0;0;0;0
ENSG00000235743.2;0;0;0;0;0;0;0;0;0;0
ENSG00000289368.2;0;0;0;0;0;0;0;0;0;0
ENSG00000219453.1;0;0;0;0;0;0;0;0;0;0
ENSG00000290589.1;0;0;0;0;0;0;0;0;0;0
ENSG00000278128.3;0;0;0;0;0;0;0;0;0;0
ENSG00000218512.2;0;0;0;0;0;0;0;0;0;0
ENSG00000220748.2;0;0;0;0;0;0;0;0;0;0
ENSG00000219582.3;0;0;0;0;0;0;0;0;0;0
ENSG00000152954.12;0;0;0;0;0;0;0;2;0;0
ENSG00000251830.1;0;0;0;0;0;0;0;0;0;0
ENSG00000146038.12;2;5;0;1;2;5;2;4;3;4
ENSG00000146049.2;0;0;0;0;0;0;0;2;0;0
ENSG00000202050.1;0;0;0;0;0;0;0;0;0;0
ENSG00000124532.15;538;966;608;727;826;726;798;836;853;697
ENSG00000112293.15;59;103;33;44;75;52;74;80;53;61
ENSG00000112294.14;241;536;202;260;411;241;317;327;281;239
ENSG00000137261.15;26;30;21;28;15;34;13;10;17;12
ENSG00000218186.2;0;0;0;0;0;0;0;0;0;0
ENSG00000111802.14;738;1329;852;1073;1090;955;1306;1215;1155;942
ENSG00000112304.11;309;584;382;463;509;463;512;452;440;391
ENSG00000272345.1;8;16;10;6;13;21;15;4;10;2
ENSG00000112308.13;3608;6357;4479;5374;5438;5064;4771;4527;4365;3532
ENSG00000272402.1;2;7;1;6;10;7;3;1;6;0
ENSG00000288851.1;992;2110;1296;1431;1561;837;719;1303;1001;1018
ENSG00000224164.2;0;0;0;0;0;0;0;0;1;0
ENSG00000218806.2;0;0;0;0;0;0;0;0;0;0
ENSG00000112312.10;310;505;283;375;418;329;505;449;301;237
ENSG00000260286.4;0;0;0;0;0;0;0;0;0;0
ENSG00000282804.1;0;0;0;0;0;0;0;0;0;0
ENSG00000111913.20;89;176;61;58;147;59;26;58;37;22
ENSG00000288887.2;0;2;0;0;0;0;0;0;0;0
ENSG00000217083.1;0;0;0;0;0;0;0;0;0;0
ENSG00000214975.4;40;89;65;99;54;72;68;62;44;49
ENSG00000286633.1;3;2;0;1;2;4;1;0;0;2
ENSG00000220517.2;0;2;0;2;3;1;0;0;0;1
ENSG00000244618.3;0;0;0;0;0;0;0;0;0;0
ENSG00000229313.1;0;0;0;0;0;0;0;0;0;0
ENSG00000223623.1;0;0;0;0;0;0;0;0;0;0
ENSG00000168405.18;1381;2353;992;1301;1930;1248;1355;1711;1459;1465
ENSG00000285801.1;7;4;7;3;6;2;3;7;4;2
ENSG00000219682.4;6;9;9;3;7;5;8;17;5;5
ENSG00000262400.1;0;0;1;0;1;0;0;1;0;0
ENSG00000217805.2;0;0;0;0;0;0;0;0;0;0
ENSG00000219681.2;0;0;0;0;0;0;0;0;0;0
ENSG00000271108.1;0;0;0;0;0;0;0;0;0;0
ENSG00000216718.7;0;0;0;0;0;0;0;0;0;0
ENSG00000213972.3;0;0;0;0;0;0;0;0;0;0
ENSG00000079691.19;1207;2427;2140;2657;2082;2362;1594;2127;2149;1926
ENSG00000207286.1;0;0;0;0;0;1;0;0;0;0
ENSG00000207490.1;0;0;1;0;0;0;0;0;0;0
ENSG00000286933.1;3;1;0;0;0;0;0;0;1;0
ENSG00000079689.15;0;1;0;0;1;0;2;0;0;0
ENSG00000290217.1;0;0;0;0;0;0;0;0;0;0
ENSG00000217408.2;0;0;0;0;0;0;0;0;0;0
ENSG00000164508.6;0;0;0;0;0;0;0;0;0;0
ENSG00000146047.7;0;0;0;0;0;0;0;0;0;0
ENSG00000178762.5;0;0;0;0;0;0;0;0;0;0
ENSG00000291193.1;0;0;0;0;0;0;0;0;0;0
ENSG00000216436.2;0;0;0;0;0;0;0;0;0;0
ENSG00000146039.11;0;0;0;0;0;0;1;1;0;1
ENSG00000124568.12;0;0;0;0;0;0;0;0;0;0
ENSG00000124564.17;0;0;0;0;0;0;1;0;0;1
ENSG00000242387.1;0;0;0;0;0;0;0;0;0;0
ENSG00000277410.1;0;0;0;0;0;0;0;0;0;0
ENSG00000112337.11;0;0;0;0;2;2;0;0;0;0
ENSG00000112343.11;651;1239;643;748;939;763;2052;1957;1609;1383
ENSG00000272558.1;0;0;0;0;0;0;0;0;0;0
ENSG00000272462.4;65;150;60;84;116;80;64;71;76;76
ENSG00000272810.1;1;0;0;2;1;2;2;0;0;0
ENSG00000224447.1;0;0;1;0;0;0;0;0;0;0
ENSG00000124610.5;1;2;0;0;1;0;0;1;0;0
ENSG00000275714.2;5;11;1;3;8;1;9;2;2;4
ENSG00000278637.2;0;1;1;0;3;2;6;0;0;4
ENSG00000278705.3;3;0;0;0;0;1;0;0;2;0
ENSG00000286522.2;0;0;1;0;8;0;6;0;0;0
ENSG00000278463.2;0;2;0;0;0;0;2;0;0;0
ENSG00000276410.4;0;0;0;0;0;0;0;0;1;0
ENSG00000234816.2;1;0;2;1;3;0;0;0;1;0
ENSG00000287080.2;3;2;1;1;5;3;2;3;4;0
ENSG00000187837.4;1064;2009;1278;1551;1639;1475;2120;1669;2269;1826
ENSG00000010704.19;891;1596;1086;1296;1340;1133;1011;1280;1060;946
ENSG00000197061.5;1;1;6;1;1;2;4;1;3;7
ENSG00000187475.6;0;0;2;0;0;0;0;0;0;0
ENSG00000180596.8;141;266;84;131;181;104;122;135;163;112
ENSG00000180573.10;1209;2172;1175;1304;1832;1536;1611;1553;1710;1337
ENSG00000168298.7;3;13;6;9;2;2;6;2;6;3
ENSG00000289117.2;1;4;1;2;0;1;0;0;8;2
ENSG00000158373.9;188;402;208;275;296;246;304;243;262;223
ENSG00000283064.1;3;13;3;6;9;2;8;9;22;3
ENSG00000217159.2;0;2;0;0;1;0;0;0;0;0
ENSG00000274290.3;12;28;16;9;14;8;10;12;8;5
ENSG00000277157.2;3;5;1;0;1;3;0;4;4;4
ENSG00000216331.2;0;3;0;0;1;1;4;1;5;2
ENSG00000282988.2;9;20;2;11;19;14;11;18;29;22
ENSG00000197409.8;0;0;0;0;0;0;0;0;0;0
ENSG00000196866.3;1;1;2;0;0;0;0;0;1;0
ENSG00000277224.3;4;14;4;0;2;2;1;8;2;7
ENSG00000217275.2;6;9;0;0;6;4;2;11;1;3
ENSG00000276966.3;6;20;5;8;15;3;8;3;3;5
ENSG00000273802.3;6;30;14;9;24;11;17;20;37;10
ENSG00000277075.3;8;22;14;11;14;10;29;9;11;8
ENSG00000277720.1;0;0;0;0;0;0;0;0;0;0
ENSG00000274750.3;59;134;35;58;125;50;159;161;186;137
ENSG00000218281.1;0;0;0;0;0;0;0;0;0;0
ENSG00000124575.7;5;3;2;0;1;2;0;0;7;0
ENSG00000274618.2;0;0;0;0;0;0;0;0;0;0
ENSG00000275663.2;0;0;0;0;0;0;0;0;0;0
ENSG00000277775.2;0;1;1;0;0;0;4;0;1;2
ENSG00000275713.3;0;5;4;0;6;3;2;1;2;5
ENSG00000273983.2;2;4;0;0;5;6;5;6;1;2
ENSG00000290789.1;0;0;0;0;1;0;1;1;0;0
ENSG00000218690.3;0;0;0;0;0;0;0;0;0;0
ENSG00000278588.2;0;1;0;0;1;1;0;2;0;0
ENSG00000158406.6;162;331;124;161;259;159;217;192;277;197
ENSG00000289447.2;0;0;0;0;0;0;0;0;1;0
ENSG00000220875.1;0;0;0;0;0;0;0;0;0;1
ENSG00000287050.1;0;0;0;1;0;0;0;0;0;0
ENSG00000186470.14;534;1116;800;916;1001;738;1253;1216;1049;879
ENSG00000124508.17;305;536;244;383;409;354;574;614;515;377
ENSG00000026950.17;424;824;511;596;631;562;638;721;587;483
ENSG00000291104.1;61;93;52;53;94;43;42;54;44;43
ENSG00000124549.17;19;34;10;17;13;17;9;19;9;9
ENSG00000111801.16;450;920;537;626;730;601;643;707;591;447
ENSG00000112763.17;678;1203;878;1015;961;945;1311;1365;1208;1168
ENSG00000290055.1;0;1;2;1;0;1;0;2;0;1
ENSG00000284688.1;0;0;3;0;0;0;0;1;1;0
ENSG00000124557.14;0;4;0;0;2;0;3;0;0;2
ENSG00000199289.1;0;0;0;0;0;0;0;0;0;0
ENSG00000228223.3;353;626;280;361;511;253;280;404;298;247
ENSG00000182952.5;1118;2128;1242;1472;1727;1583;1580;1591;1356;1165
ENSG00000284607.1;0;2;1;0;0;0;0;0;0;0
ENSG00000146109.5;405;733;484;523;554;579;781;581;557;490
ENSG00000275846.1;1;0;0;0;1;0;0;0;0;0
ENSG00000271071.1;0;0;0;0;1;0;0;0;0;0
ENSG00000181315.11;308;549;278;403;425;265;317;556;425;336
ENSG00000285571.1;2;5;0;2;2;0;0;4;8;0
ENSG00000261584.1;1;0;1;0;0;0;0;4;0;0
ENSG00000290474.1;9;17;4;9;24;7;9;8;12;16
ENSG00000241549.9;0;0;0;0;0;0;0;0;0;0
ENSG00000243307.2;1;2;1;0;0;0;0;0;0;0
ENSG00000224843.8;8;22;5;9;20;5;10;20;9;19
ENSG00000272312.1;1;2;0;0;1;0;0;1;0;0
ENSG00000287966.2;2;5;1;1;10;5;7;10;5;11
ENSG00000220581.1;0;0;0;0;0;0;0;0;0;0
ENSG00000216762.1;0;0;0;0;0;0;0;0;0;0
ENSG00000219770.1;0;0;0;0;0;0;0;0;0;0
ENSG00000222800.1;0;0;0;0;0;0;0;0;0;0
ENSG00000272468.1;18;39;23;37;33;46;36;39;31;21
ENSG00000124635.9;96;211;93;116;162;112;144;110;120;80
ENSG00000196787.4;11;63;30;45;43;19;34;37;56;46
ENSG00000290032.1;256;471;320;486;365;400;622;422;542;429
ENSG00000276180.2;0;10;4;1;8;7;7;2;6;4
ENSG00000197903.8;1291;2387;1565;1794;1939;2234;2801;2403;2746;2084
ENSG00000274997.2;2;7;0;5;4;4;12;5;9;4
ENSG00000265565.1;0;0;0;0;0;0;0;1;0;0
ENSG00000290009.1;0;0;0;0;0;0;0;0;0;0
ENSG00000174572.3;0;0;0;0;0;0;0;0;0;0
ENSG00000112812.16;6;3;2;6;5;0;4;1;0;7
ENSG00000270935.1;0;0;0;0;0;0;0;0;0;0
ENSG00000158553.5;0;0;1;2;2;0;0;0;0;0
ENSG00000220758.4;0;0;0;0;0;0;0;0;0;0
ENSG00000291112.1;15;24;2;8;15;6;23;15;12;16
ENSG00000204789.6;0;0;0;0;0;0;0;0;0;0
ENSG00000124613.9;135;233;108;108;185;105;201;268;224;184
ENSG00000271755.1;0;8;2;0;5;0;1;2;4;2
ENSG00000237154.2;0;1;0;2;0;0;0;2;1;0
ENSG00000096654.16;155;249;85;104;216;151;190;233;150;141
ENSG00000285849.1;0;0;0;1;1;0;2;2;0;2
ENSG00000286652.1;1;2;2;1;4;1;0;3;1;3
ENSG00000285703.1;0;0;0;1;1;0;1;0;1;0
ENSG00000278332.1;0;0;0;0;0;0;0;0;0;0
ENSG00000270666.1;0;0;0;0;1;0;0;0;1;0
ENSG00000218347.2;0;0;0;0;0;0;0;0;0;0
ENSG00000219738.2;0;1;0;0;0;0;0;0;0;0
ENSG00000206671.1;0;0;0;0;0;0;0;0;0;0
ENSG00000216676.2;0;0;0;0;0;0;0;0;0;0
ENSG00000287674.1;0;0;0;0;0;0;0;0;0;0
ENSG00000281706.5;6;21;4;1;10;11;19;11;13;9
ENSG00000216915.2;1;1;0;0;3;0;0;2;0;1
ENSG00000287252.3;10;23;5;8;14;7;8;13;2;9
ENSG00000218069.2;0;0;0;0;0;0;2;0;0;0
ENSG00000217862.2;0;3;2;1;2;1;0;4;1;0
ENSG00000185130.6;4;5;2;0;5;4;1;5;3;3
ENSG00000196747.5;14;21;7;6;11;6;1;18;6;6
ENSG00000278828.2;43;56;26;21;64;33;53;48;42;34
ENSG00000276368.2;2;0;0;2;0;0;3;0;0;0
ENSG00000273703.2;1;0;0;0;0;0;0;2;1;0
ENSG00000197238.5;0;2;6;1;1;0;3;13;2;2
ENSG00000273542.2;7;1;4;6;6;1;1;13;5;3
ENSG00000275221.2;16;22;10;14;19;30;9;17;13;4
ENSG00000233822.6;54;78;41;56;78;50;66;75;90;45
ENSG00000217646.1;0;2;0;1;0;4;0;0;2;0
ENSG00000276903.2;0;0;3;2;5;3;4;2;1;3
ENSG00000184357.5;1;7;1;1;1;1;1;1;5;1
ENSG00000275379.2;0;0;1;1;0;0;1;0;0;0
ENSG00000275126.2;0;0;0;0;0;0;0;0;0;0
ENSG00000197153.5;0;1;2;2;1;1;3;2;0;1
ENSG00000278677.2;0;1;0;0;0;0;0;0;0;0
ENSG00000274641.2;4;14;1;1;6;0;9;4;2;0
ENSG00000238610.1;0;0;0;0;0;0;0;0;0;0
ENSG00000168131.4;0;0;1;0;0;0;0;0;0;0
ENSG00000168126.3;0;0;0;0;0;0;0;0;0;0
ENSG00000124657.1;1;2;0;1;1;0;1;1;1;0
ENSG00000214374.2;0;0;0;0;0;1;0;0;0;0
ENSG00000216629.1;0;0;0;0;0;0;0;0;0;0
ENSG00000217539.2;0;0;0;0;0;0;0;0;0;0
ENSG00000269293.5;46;103;85;104;82;85;91;79;73;61
ENSG00000199851.2;0;0;0;0;0;0;0;0;0;0
ENSG00000217315.1;0;0;0;0;0;0;0;0;0;0
ENSG00000187763.3;0;0;1;0;0;0;0;0;0;0
ENSG00000182477.5;0;0;0;0;0;0;0;0;0;0
ENSG00000220721.3;0;0;0;0;0;0;0;0;0;0
ENSG00000272009.1;0;4;0;6;6;0;2;5;1;0
ENSG00000197279.5;12;15;11;8;19;14;21;27;14;9
ENSG00000291008.1;26;61;34;32;59;23;21;23;29;16
ENSG00000219891.4;0;0;0;0;0;0;0;0;0;0
ENSG00000196812.6;21;38;23;28;31;23;47;36;36;42
ENSG00000290891.1;0;2;0;0;1;0;1;0;1;0
ENSG00000219392.3;0;0;0;0;0;0;0;0;0;0
ENSG00000261839.1;1;0;0;2;0;0;0;0;1;0
ENSG00000198315.11;747;1325;615;782;1188;667;569;1111;844;832
ENSG00000226314.9;32;39;14;23;29;21;15;29;29;31
ENSG00000280107.1;6;0;3;3;6;4;1;8;1;4
ENSG00000216901.1;2;1;2;4;4;0;0;0;0;0
ENSG00000218016.2;0;0;0;0;0;0;0;0;0;0
ENSG00000176933.5;14;24;19;13;31;20;6;15;25;11
ENSG00000137185.13;129;268;147;147;191;150;235;239;172;145
ENSG00000187626.9;124;222;160;138;191;153;180;220;178;145
ENSG00000189134.4;42;62;38;38;56;52;78;88;51;52
ENSG00000197062.12;198;354;195;245;271;208;267;305;246;220
ENSG00000276302.1;2;0;0;0;1;0;1;1;0;3
ENSG00000137338.6;188;333;184;257;308;190;283;263;227;180
ENSG00000273712.1;0;5;2;1;0;2;1;0;0;1
ENSG00000270326.1;0;0;0;0;0;0;2;0;0;0
ENSG00000235109.8;29;46;18;11;46;25;42;64;65;34
ENSG00000289467.2;0;0;0;0;0;0;0;0;3;0
ENSG00000290051.1;0;0;0;0;0;0;1;0;0;0
ENSG00000189298.14;87;185;83;128;193;109;138;198;123;113
ENSG00000158691.15;253;412;168;233;320;145;151;317;215;168
ENSG00000251877.1;0;0;0;0;0;0;0;0;0;0
ENSG00000187987.10;31;65;24;24;53;22;14;40;25;14
ENSG00000231162.4;0;1;0;0;0;0;0;0;0;0
ENSG00000219262.1;0;0;0;0;0;0;0;0;0;0
ENSG00000287804.3;0;4;0;0;2;0;1;4;0;0
ENSG00000286819.2;0;1;0;0;0;0;0;0;0;0
ENSG00000198704.10;0;1;0;0;0;0;0;0;0;0
ENSG00000224586.7;0;0;0;0;0;0;0;0;0;0
ENSG00000232040.4;24;50;8;19;38;5;18;30;22;11
ENSG00000246350.1;0;0;0;1;0;0;0;0;0;0
ENSG00000271440.1;0;0;0;0;0;0;0;0;0;0
ENSG00000287279.1;0;0;0;0;0;0;0;0;0;0
ENSG00000235570.1;0;0;0;0;0;0;0;0;0;0
ENSG00000237425.1;0;0;0;0;2;0;0;0;0;0
ENSG00000235559.1;0;5;0;1;1;1;1;5;0;1
ENSG00000225173.2;0;0;3;5;0;1;0;0;0;3
ENSG00000225595.2;0;0;0;0;0;0;2;0;0;0
ENSG00000213916.2;0;0;0;0;0;0;0;0;0;0
ENSG00000233366.1;0;0;0;0;0;0;0;0;0;0
ENSG00000224157.1;0;4;0;1;2;0;0;1;0;0
ENSG00000204713.11;1509;2817;1804;2140;2469;2156;2721;2622;2240;2013
ENSG00000212240.1;0;0;1;5;3;2;1;5;1;5
ENSG00000204709.4;0;2;0;1;0;1;0;0;0;0
ENSG00000228666.1;0;0;0;0;0;0;0;0;0;0
ENSG00000263426.2;0;2;0;1;2;2;2;0;6;0
ENSG00000227214.2;2;5;10;7;3;3;9;11;4;8
ENSG00000244349.1;4;12;2;7;11;1;9;8;2;2
ENSG00000197935.7;32;61;24;30;46;41;62;69;56;36
ENSG00000223677.1;0;0;0;0;0;0;0;0;0;0
ENSG00000277661.4;0;0;0;0;0;0;0;0;0;0
ENSG00000204704.3;0;0;0;0;0;0;0;0;0;2
ENSG00000236909.1;0;0;0;0;0;0;0;0;0;0
ENSG00000228364.1;0;0;0;0;0;0;0;0;0;0
ENSG00000204703.5;0;0;0;0;0;0;0;0;0;0
ENSG00000204702.6;0;0;0;0;0;0;0;0;0;0
ENSG00000204701.3;0;0;0;0;0;0;0;0;0;0
ENSG00000227206.1;0;0;0;0;0;0;0;0;0;0
ENSG00000290479.1;0;0;0;0;0;0;0;0;0;0
ENSG00000203492.5;0;0;0;0;0;0;0;0;0;0
ENSG00000284656.1;0;0;0;0;0;0;0;0;0;0
ENSG00000204700.5;0;0;0;0;0;0;0;0;0;0
ENSG00000224233.1;0;0;0;0;0;0;0;0;0;0
ENSG00000290478.1;0;0;0;0;0;0;0;0;0;0
ENSG00000230598.3;0;0;0;0;0;0;0;0;0;0
ENSG00000290496.1;0;0;0;0;0;0;0;0;0;0
ENSG00000213911.2;0;0;0;0;0;0;0;0;0;0
ENSG00000204697.3;0;0;0;0;0;0;0;0;0;0
ENSG00000242524.1;1;0;0;0;0;0;0;0;0;0
ENSG00000197171.7;0;0;0;0;0;0;0;0;0;0
ENSG00000204695.4;0;0;0;0;0;0;0;0;0;0
ENSG00000230056.1;0;0;0;0;0;0;0;0;0;0
ENSG00000243729.5;0;0;0;0;0;0;0;0;0;0
ENSG00000112462.8;0;0;0;0;0;0;0;0;2;0
ENSG00000280236.3;0;0;0;0;0;0;0;0;0;0
ENSG00000251608.2;0;0;0;0;0;0;0;0;0;0
ENSG00000204694.13;0;0;0;0;0;0;0;0;0;0
ENSG00000206474.8;0;0;0;0;0;0;0;0;0;0
ENSG00000277881.1;0;0;0;0;0;0;0;0;0;0
ENSG00000204688.10;0;0;0;0;0;0;0;0;0;0
ENSG00000225797.2;0;0;0;0;0;0;0;0;0;0
ENSG00000230164.1;0;0;0;0;0;0;0;0;0;0
ENSG00000289203.1;0;0;0;0;0;0;0;0;0;0
ENSG00000204687.4;0;0;0;0;0;0;0;0;0;0
ENSG00000213900.2;0;0;0;0;0;0;0;0;0;0
ENSG00000229274.2;0;0;0;0;0;0;0;0;0;0
ENSG00000224582.7;0;0;0;0;0;0;0;0;0;0
ENSG00000229281.1;0;0;0;0;0;0;0;0;0;0
ENSG00000237988.6;0;5;0;0;0;0;0;0;0;0
ENSG00000213886.4;0;0;0;0;0;0;0;0;0;0
ENSG00000204681.11;299;557;299;364;373;387;337;388;314;298
ENSG00000232173.2;0;0;0;0;0;0;0;0;0;0
ENSG00000227609.2;0;0;0;0;0;0;0;0;0;0
ENSG00000201330.1;0;0;0;0;0;0;0;0;0;0
